PC1(0.62) PC2(0.31) 
1.071650 0.992282 
3.264996 -1.723578 
3.320331 -1.733271 
3.653994 -1.168856 
2.949465 -1.883597 
2.805118 -1.627164 
3.403276 -1.500555 
3.086214 -1.651680 
2.999805 -1.600625 
3.484489 -1.705408 
3.284518 -1.739395 
2.813346 -1.857595 
3.024637 -1.751517 
3.394589 -1.592754 
2.908018 -1.687258 
2.820846 -2.009645 
2.571826 -1.559344 
3.342181 -1.478265 
3.557353 -1.481060 
2.793340 -1.590244 
2.976841 -1.577584 
3.004664 -1.966626 
2.784974 -1.760280 
3.053322 -1.330918 
3.210525 -1.523177 
2.828170 -1.604298 
2.557267 -1.486706 
3.377866 -1.644394 
3.377136 -1.159358 
3.371337 -1.383600 
3.772578 -1.363374 
3.448080 -1.631274 
4.584171 -1.148991 
1.828506 -2.217258 
1.853640 -2.166739 
2.856993 -1.644242 
2.068735 -2.449068 
3.771938 -1.477818 
2.238018 -2.291561 
2.707209 -2.148504 
2.456518 -2.080183 
1.727663 -1.943663 
3.643040 -1.523176 
2.184239 -2.153414 
2.337911 -2.197295 
2.383579 -1.934593 
2.469101 -1.977748 
3.072243 -1.711394 
2.789951 -2.079757 
2.308365 -2.193601 
2.343030 -2.303397 
2.431825 -1.897699 
3.541571 -1.523152 
2.163346 -2.361349 
2.420824 -1.972519 
2.540782 -1.981823 
2.207592 -2.237444 
4.107019 -1.299166 
3.791293 -1.059727 
3.008654 -1.543033 
4.537145 -0.862143 
4.199764 -1.389594 
3.092378 -1.530847 
3.156960 -1.443494 
3.250237 -1.470688 
3.092344 -1.501894 
3.068863 -1.594548 
3.260844 -1.502389 
3.056435 -1.803159 
3.129469 -1.400210 
3.487018 -1.246342 
4.322247 -1.194473 
3.276623 -1.237661 
4.027985 -1.389235 
3.090206 -1.571505 
3.032111 -1.668078 
2.428988 -1.459773 
3.243015 -1.343406 
3.179322 -1.509402 
2.755459 -1.749692 
2.771440 -1.679650 
3.437609 -1.581401 
3.257875 -1.633232 
3.169031 -1.295370 
2.792845 -1.469553 
3.218738 -1.574902 
3.169447 -1.140208 
3.684727 -1.295249 
2.958552 -1.541178 
3.181053 -1.306376 
3.635626 -1.573789 
2.616412 -2.118997 
3.678890 -1.155893 
3.048487 -1.515067 
2.975730 -1.604036 
2.529121 -1.977875 
2.677711 -1.838605 
3.119667 -1.694093 
4.062276 -1.184119 
3.433515 -1.524056 
3.405206 -1.578404 
3.182925 -1.461495 
-0.326666 0.346073 
0.221726 0.163125 
-0.400881 0.720798 
0.359031 0.556459 
-0.649583 0.157807 
0.319494 0.121418 
-0.264352 -0.262297 
0.024863 0.392505 
-0.029268 0.792492 
-0.764318 1.225617 
-0.559533 1.351285 
-0.343982 0.708072 
-0.434117 -0.182790 
-0.060178 0.006149 
-0.525566 0.129036 
-0.814050 0.213015 
-0.206837 0.614223 
0.529811 0.723656 
-0.188205 0.838928 
-0.356554 0.304349 
-0.369704 0.532791 
-0.381023 -0.017748 
-0.384128 0.841858 
-0.372867 -0.329996 
-0.329229 0.041340 
-0.624565 0.549471 
-0.475838 0.693457 
-0.498889 -0.033986 
-0.693460 0.658775 
-0.152293 0.242139 
-0.075140 0.981130 
-0.556097 0.935415 
0.068179 -0.039433 
-0.491660 0.300702 
-0.478997 0.801258 
-0.824166 0.309573 
-0.679263 0.079248 
-0.458184 0.402981 
-0.551949 0.381176 
-0.233365 0.004157 
0.150334 0.271269 
-0.431519 -0.307926 
-0.879055 0.465521 
-0.446766 0.484833 
-0.690270 0.424224 
-0.008448 -0.030951 
-0.481029 0.405675 
-0.545067 -0.336272 
-0.575435 0.242951 
-0.700298 0.249481 
-0.555953 0.230734 
-0.596836 0.256562 
-0.560333 0.136774 
-0.866521 0.577001 
-0.594615 0.598884 
-0.366678 0.251079 
-0.417953 0.484892 
-0.295675 -0.004564 
-0.429549 1.082380 
-0.223530 1.338568 
-0.509704 0.443231 
-0.624965 0.501892 
-0.629628 0.768333 
-0.704650 0.336253 
0.110369 0.374235 
-0.412777 0.888012 
-0.116221 0.126905 
0.303344 0.495554 
-0.272027 -0.270516 
-0.254793 0.184492 
-0.472343 -0.092449 
-0.322364 0.437934 
-0.518627 0.195100 
0.248735 0.566689 
-0.674007 -0.022199 
-0.297554 -0.765522 
-0.461127 0.051658 
0.108605 -0.250227 
-0.711107 0.659925 
-0.015696 0.847556 
-0.010963 0.012921 
-0.561120 0.294063 
0.706702 0.085624 
-0.763660 0.461432 
0.205718 0.173347 
0.729839 1.636237 
0.687285 1.774751 
-0.421981 0.448336 
0.008075 -0.158323 
0.532686 0.053998 
0.307315 1.284612 
-0.462171 1.129528 
-0.063619 0.211884 
-0.467427 -0.242515 
-0.269878 0.507687 
-0.527253 0.507684 
0.849495 2.108135 
-0.449854 0.190876 
-0.216044 0.193505 
0.040214 0.400958 
-0.358117 -0.185285 
-0.353543 -2.361370 
-0.142673 -2.294511 
-0.160401 -2.319399 
-0.259706 -2.368242 
-0.116785 -2.540240 
-0.073200 -2.053816 
-0.162447 -1.870677 
0.283182 -2.406204 
-0.114729 -2.180646 
0.240345 -1.876913 
0.168922 -2.035193 
-0.110960 -2.089469 
-0.012958 -2.075016 
0.119981 -2.320280 
0.002147 -2.201255 
0.112566 -2.483698 
-0.046036 -2.348426 
-0.268897 -1.717851 
0.018166 -2.283975 
0.027810 -2.619320 
0.009774 -2.268671 
-0.215053 -2.428444 
0.135758 -2.506785 
-0.002905 -2.086794 
0.097695 -2.158558 
0.212556 -2.025167 
-0.232765 -2.455261 
-0.186689 -1.982411 
0.075655 -2.162365 
0.133808 -2.106847 
0.269681 -2.269810 
0.035925 -2.320101 
0.241105 -1.881915 
0.404141 -2.151386 
-0.192557 -2.418689 
