a(a10,glob) d(membrane)
147.188235 31.050003
102.462929 25.220016
129.127742 25.160004
112.736168 24.360001
92.752113 28.240005
102.132302 31.870010
88.346087 32.000000
87.010267 25.240005
94.758975 33.630005
113.929360 35.120010
85.772878 32.380005
95.863368 33.410004
104.540878 48.690010
115.285876 51.579994
157.155772 47.090012
140.219720 51.029991
138.706755 64.370010
116.514087 62.440010
111.467827 57.750015
110.693601 50.400009
86.399907 52.180008
85.071334 46.540009
79.493363 37.940002
110.492946 31.610001
113.689352 41.719994
89.795386 38.430008
98.809383 40.370003
104.129310 46.220001
96.465258 53.710007
100.676256 52.050003
115.423304 61.280006
65.055224 69.730011
91.901821 67.820000
85.472359 69.050011
79.633012 66.110008
84.048434 64.510010
79.510379 67.250008
112.142580 53.270012
116.675096 63.040009
150.971373 58.420006
136.355148 56.050011
131.873563 64.100006
132.927978 63.610008
154.770308 63.799995
163.755471 49.600006
152.051083 59.769997
127.949660 54.100006
172.215705 56.890007
100.863156 76.790009
149.953681 66.989998
126.931443 56.880005
133.272683 49.940010
116.155104 61.430000
92.458150 74.260010
142.742104 62.269997
115.790331 70.290009
109.496485 67.470016
126.190001 68.700005
148.269891 58.970009
144.696108 61.000008
131.831800 65.080009
82.785023 72.840012
87.595151 73.090004
114.135685 52.790009
153.871366 45.670013
131.786990 45.790009
118.275269 48.840004
97.367563 45.580009
95.006071 51.130005
113.356397 52.310005
122.576938 43.130005
151.014615 47.470001
148.649031 39.530014
157.058519 31.680008
158.636012 36.100006
165.503627 37.100006
136.977136 50.490005
150.378316 46.190010
172.968847 48.239998
151.524319 51.340004
147.381738 59.940010
106.920105 60.300003
129.112793 60.950012
114.325549 65.710007
119.673184 58.580002
150.388012 65.650009
147.927854 74.030006
121.132191 65.480011
110.974025 79.489998
123.779883 60.540009
114.801656 68.280006
114.654366 72.450005
142.523813 72.030006
131.088551 62.560013
142.677056 61.830009
167.632569 60.850006
170.358366 59.810005
145.006480 60.130013
164.637147 66.480003
140.911881 70.710007
126.696626 66.940010
117.312882 72.549995
123.711253 62.700012
93.316314 58.060005
85.841817 63.460014
142.517836 62.720009
126.540747 73.780006
95.353426 75.110016
112.645079 58.560005
120.468135 55.480011
129.366274 44.940010
105.658392 39.250015
99.251682 31.160004
88.466679 31.130005
104.035909 22.340012
115.083333 22.570007
85.377727 19.560013
123.690014 22.850006
132.721360 21.669998
120.433951 30.810013
147.003692 36.840012
120.526588 36.380005
105.151516 31.570007
91.025301 31.889999
96.279191 35.889999
120.207519 30.740005
128.631711 29.770004
117.565744 35.390015
114.793760 37.410004
161.029463 34.130005
146.755665 37.550003
170.071835 38.199997
153.044567 41.240013
152.194501 42.860008
96.830596 45.950012
135.702364 41.880005
108.944669 50.170006
116.084976 63.840004
123.991588 48.440002
109.352279 53.090004
128.903700 51.260010
125.231328 58.920006
109.681942 51.170013
109.526207 47.980011
90.341175 50.030006
111.598580 58.350006
111.028270 44.550003
168.192377 40.230003
141.685639 29.720001
120.232730 34.720001
98.663228 31.700012
127.391039 35.660004
126.923095 43.070007
101.385100 43.790001
93.277911 43.900009
126.638386 46.180008
133.812793 40.469994
119.512903 38.040009
116.044457 29.430008
126.892417 38.630005
107.415825 37.850006
126.947226 38.180008
122.737728 42.450005
118.081773 32.790009
127.890577 33.669998
118.471715 42.100006
94.974240 42.110008
119.018230 47.549995
128.386987 42.710007
163.626780 39.090012
144.732934 44.850006
167.269097 36.410004
126.677785 43.460007
103.000098 46.690002
116.524203 47.600006
128.537060 44.629997
141.453656 38.520004
147.184309 30.300003
150.261234 35.730011
128.348556 39.810013
137.182273 31.420013
150.876798 26.920013
141.307994 19.680008
150.393866 22.380005
140.066580 26.410004
162.743887 30.400009
121.824642 36.610001
142.728371 30.910004
173.144736 34.600006
177.890857 32.680008
153.772481 29.650009
133.621947 28.780014
106.316158 26.640015
131.698384 23.350006
170.164747 27.930008
136.673631 42.290009
94.878614 55.380005
96.083908 49.100006
102.488469 47.930008
120.211391 47.310005
98.229344 57.050003
102.134446 45.830009
83.325590 53.360008
109.337219 50.210007
136.390930 63.590012
140.647990 56.920013
134.050908 67.980011
140.898131 65.080009
106.672500 53.040009
137.933764 59.250008
129.071519 60.640007
143.030368 47.640007
126.728743 51.849998
148.159063 50.400009
