dA  dB
143.761110 70.248524
73.429200 114.342864
122.544261 61.934265
98.222126 123.790505
72.479629 133.458103
106.266514 139.940133
117.486177 52.986310
56.681839 117.305878
62.213779 107.393149
53.640443 102.260499
114.252858 48.118713
103.685753 134.937846
64.673103 117.961292
94.566698 152.137338
107.041114 102.994408
49.855170 104.775519
117.292026 59.643003
75.215920 128.356199
148.950114 124.657075
130.458178 78.215090
122.436874 93.998273
131.769905 57.722163
137.604834 66.739479
63.151205 125.891237
47.186246 110.011228
111.927705 111.020005
50.482786 107.600874
87.985530 48.979339
115.964815 59.487023
129.231743 35.061967
35.166729 116.211683
106.180941 53.309400
112.926887 75.342188
115.087709 156.659661
146.987533 73.936860
151.013898 113.004990
129.729966 62.099407
123.402292 95.670431
116.894713 50.558274
119.639266 146.343181
136.153462 66.680177
95.614839 91.540048
103.912102 64.983329
126.772680 67.336165
118.807577 60.602064
129.204308 111.431530
59.454098 124.609417
66.801267 135.584696
93.714008 128.569968
55.913841 135.818370
119.367016 71.103347
96.763772 139.700992
139.089717 118.371937
111.022751 53.601584
77.915154 81.077989
109.036036 60.858655
75.686699 124.142910
73.662606 110.141832
54.098360 137.042850
57.780928 135.649032
62.200065 124.010701
109.570331 150.761763
116.445476 52.518269
57.545109 104.635149
129.768532 52.667317
109.976118 49.625109
125.626616 53.785929
110.003427 46.974999
100.543628 127.140762
138.733024 99.597958
110.336914 57.493550
107.193063 45.073845
105.489242 65.408479
58.258403 101.877692
61.694088 158.200455
101.043598 94.430073
49.524820 128.178474
117.403722 60.720128
57.820258 131.645148
134.598242 63.082557
113.817754 60.310305
60.118816 141.983046
57.283318 106.208032
90.560448 56.845334
131.810027 62.016710
65.675247 114.591375
70.593162 138.997733
113.251576 151.927211
98.547233 64.629746
153.603191 87.805447
75.712068 131.864671
109.540922 115.461381
134.336660 70.399475
61.996279 143.188865
104.233407 70.653338
54.586229 115.616526
106.883081 118.759078
52.358280 107.058879
120.513329 60.867973
125.568608 63.440852
136.275311 149.815407
106.285547 112.943111
65.217630 120.009382
145.801641 121.920829
98.940713 66.084795
77.477364 120.865119
53.406702 108.494701
57.559007 100.405528
108.049430 61.439068
105.155815 73.050504
60.106332 101.905127
64.246451 113.542807
117.317317 131.775687
130.564523 95.113737
81.919583 131.724913
118.264792 58.680808
87.842144 71.073568
59.456565 122.972666
112.533599 56.922694
54.466059 118.297358
69.556935 124.688799
114.056566 142.654606
140.140045 59.904565
49.988322 118.992337
124.655217 52.146136
107.069440 58.425000
51.869781 94.165160
108.858207 57.978198
55.476986 129.506075
129.064603 95.398145
46.716505 113.545773
136.334719 103.888694
110.102565 56.809753
173.953539 82.633205
135.050228 63.222127
106.250769 65.187236
74.474133 117.116856
134.993529 99.439672
47.470050 110.307374
106.600766 61.388261
123.381074 57.687755
117.658449 135.602267
109.029516 68.936614
143.075274 54.630002
59.116911 109.201662
113.898227 136.199086
62.332759 109.860348
99.730803 56.820534
77.741223 165.332720
65.599013 105.190486
99.078729 65.941246
56.296146 103.896903
86.186340 86.320247
69.360485 154.486626
110.658180 139.382590
47.922733 117.821276
121.596118 76.898589
89.139905 135.109089
47.172521 106.305312
129.528427 56.999509
107.474218 62.906604
140.376759 49.767991
68.743646 117.746630
