X Y
-3.375615 3.632363
-3.618828 3.786279
-3.485530 0.464121
-2.422184 2.101777
-2.127235 2.142973
0.656798 -0.351245
-3.769734 1.688523
-5.241005 3.575867
-2.289429 -0.057198
0.286449 1.033042
2.997771 -3.127543
0.746674 -0.846673
-3.119124 1.104976
0.847857 -0.399796
-3.458611 1.626909
-0.955588 0.388278
0.991929 -0.282637
1.012324 -1.347155
-3.204892 1.073893
-2.367211 0.513251
-3.130591 0.686585
1.388530 -1.445342
-3.476056 1.556348
-2.243599 2.223194
-2.086937 -0.713541
-3.093384 3.186697
2.260702 -2.633805
-2.313146 2.197919
1.301695 -1.582333
-2.553909 -0.184247
-2.805375 2.427707
-3.062399 0.446136
-2.978784 2.744041
1.677890 -1.210116
1.232243 -1.183790
1.168917 -0.786125
1.371890 -1.800002
-2.902712 2.977469
0.717256 -0.555650
-3.667338 1.921058
-4.468351 2.448541
-2.937150 0.985622
-2.769271 2.306005
-3.241143 3.099832
0.673806 0.068957
-2.546559 0.236588
0.163841 0.194156
-3.764877 1.271243
-2.724937 2.307722
-1.784857 0.944527
-1.716676 1.427646
-2.887895 3.134498
-3.125313 1.207084
-3.553138 1.132288
-3.600122 4.325784
0.870931 -0.834970
-2.871361 0.621023
-3.604214 4.134366
-2.097073 1.711682
-3.359289 3.053042
-2.177833 1.982496
-3.885900 1.725931
-2.274215 3.011313
1.830741 -1.642304
-2.195528 2.342739
-2.741980 2.800174
-3.089999 0.791335
1.038292 -0.510284
-3.081041 2.863069
-2.313629 2.694068
-2.588940 2.405604
-3.255669 3.126609
-2.978687 3.108203
1.585105 -1.816484
-2.925688 0.796630
-2.168424 2.440358
-2.471868 2.794895
-0.451282 1.297756
1.151283 -0.687853
-2.742033 2.803025
-3.047418 0.812918
-4.160939 2.694906
-2.247017 1.693481
0.290075 0.146305
-3.404036 1.569248
0.961803 -0.924579
1.522779 -1.224418
-3.299996 0.929885
-4.199505 2.791935
-3.866219 2.057340
2.544090 -3.328176
-4.348184 4.814722
1.075145 -0.924225
0.554789 0.248895
-3.500574 3.552716
-3.982674 4.186504
1.517459 -1.362194
-2.297723 2.548226
-2.283277 2.142664
-4.415329 2.868090
0.862593 -0.557220
-1.813522 -0.493211
-3.866673 1.678859
-2.712580 2.940722
-3.107947 0.330737
0.451382 -0.472156
-3.014456 3.981671
1.060935 -1.096324
-2.760573 0.179955
-2.531526 2.181154
0.234488 0.022083
-3.942320 1.550955
-2.966257 0.549410
-2.855796 0.158183
0.055917 0.884305
-1.291064 0.889535
0.814238 -0.663330
-3.487814 4.275749
-2.543544 2.622059
-4.399010 2.806568
0.856677 -0.662084
-3.863957 4.627872
0.655758 0.021644
-2.331676 0.095418
-1.982643 1.519807
1.295000 -0.976872
-3.701382 4.527684
-2.109454 1.676195
1.934229 -1.950997
-4.323412 2.354172
-3.077938 0.380865
1.892097 -2.497092
-1.789779 -1.548079
0.320476 0.212900
-2.024405 2.148786
-3.114728 3.442715
-3.220543 1.398760
1.364045 -1.286180
0.236931 0.195194
-3.271668 3.245330
-3.395979 3.881327
-3.084958 3.602699
-2.969386 2.717777
0.240177 0.655241
-1.918542 1.528462
-3.501637 1.860219
1.846043 -2.274169
-2.636246 2.788496
-3.039201 0.394364
0.736900 -0.742448
-1.799858 1.092633
-1.785938 1.398260
1.631113 -1.779763
-3.420422 1.360541
2.086288 -2.088633
1.614091 -1.638336
-3.189494 1.148826
1.743972 -1.885941
-2.750743 0.470628
2.081116 -2.164788
1.473533 -1.400523
1.301266 -1.687735
1.092425 -1.403187
0.697955 -0.435302
-4.835828 3.211480
-2.886553 0.667264
-2.224588 2.605453
-2.432547 -0.700124
-3.208667 1.288452
-3.407645 3.629309
-4.450781 2.969225
-2.792926 1.198302
-1.932834 1.563356
0.892370 -0.400727
-2.167455 2.134622
0.997079 -0.910130
-2.955708 0.837751
-2.648657 2.854542
-2.826576 2.635956
-3.055322 3.121320
-4.427556 4.173091
-3.153796 0.697399
0.517524 -0.198638
-1.988418 1.722626
-3.753779 3.915932
-3.581665 3.639161
-2.271857 -0.165151
-4.101469 4.496639
-1.997058 2.267700
-1.542670 1.233492
1.545397 -1.591012
-2.583170 2.694483
-2.870033 0.835563
-2.554880 3.126613
1.306642 -1.393397
-2.618002 0.233828
1.246921 -1.629214
-3.046062 3.255254
-3.826036 1.405089
0.745267 -0.642350
-3.172191 1.528811
1.283931 -1.490466
-4.340220 4.422240
-2.596257 0.156406
-2.683615 0.606656
-0.072311 0.845524
-3.473654 3.696188
-2.963816 0.771572
-4.116185 1.718083
-2.583688 2.890176
1.650499 -1.438819
0.342055 0.086749
-3.134902 2.878084
-3.504434 1.403038
0.638999 0.030699
-3.358806 3.649325
-3.596583 4.228014
-3.484131 3.576972
-2.731456 0.817751
-2.500780 1.791747
0.636133 -0.267700
1.185792 -1.275636
-2.565990 -0.220524
1.109131 -0.949357
0.312460 0.104278
-1.753148 1.727909
0.925542 -0.785312
-3.327275 1.391879
0.644557 -0.277102
1.978757 -2.917560
-2.829428 2.388845
-3.052284 3.656706
0.133297 -0.263628
-2.518512 2.243685
-1.956547 1.977954
-1.979985 1.472401
-2.867937 0.219474
-2.570704 0.226748
1.055212 -0.848708
-3.419307 3.857754
0.847074 -0.377899
-2.345894 2.528466
-2.029714 1.674083
-3.342144 0.892115
-3.159608 0.802699
1.294800 -0.532119
0.889061 -0.744528
-3.615117 1.232824
-3.188850 3.794906
0.782358 -0.577747
-3.235395 0.592257
-3.277896 0.398182
-3.213719 1.306753
-3.004645 0.489360
-2.584240 -0.081117
-2.777273 -0.240067
-2.256782 -0.249878
-2.558398 2.514197
0.907342 -1.282651
-3.021684 2.859854
-2.620575 0.422991
-2.298680 2.213295
-2.048497 -0.737855
0.712211 -0.032943
-2.368671 0.047767
0.763454 -0.736299
-2.519283 -0.360985
-1.841849 -0.447870
-2.254037 2.475306
-1.929962 1.466787
-3.326871 1.017125
0.307906 0.169951
-3.194783 0.463379
1.276546 -1.175274
1.464796 -1.007691
-2.975058 2.721383
-2.519970 2.467825
-4.048984 1.970941
-2.175611 -0.078032
-3.378024 3.143593
-3.701030 1.104291
-3.072295 0.709761
-2.414883 0.278358
-3.217165 4.002651
-2.874102 3.003903
0.115979 -0.053636
-2.805761 2.517495
-2.356887 2.435946
-2.246588 -0.322955
-2.551102 0.486284
-1.669386 0.636778
-2.642158 0.404882
1.552795 -0.977156
-3.286771 3.770611
-2.489609 2.362048
-3.728393 1.613137
-2.806293 0.902227
-3.316924 3.352789
0.759996 -0.344250
-3.244695 1.696724
-0.240001 0.877240
-2.809159 2.933569
0.625699 -0.412652
-3.812493 4.207018
-3.138839 3.236300
-3.436738 1.607237
-2.094537 -0.323840
1.227160 -0.641804
-3.756284 1.331811
1.476497 -1.804965
-1.333985 0.809903
3.218706 -3.971612
-2.215018 -0.330100
-3.345063 3.844594
0.962123 -0.975041
0.947210 -0.917774
-3.572504 1.766659
1.387648 -1.568674
1.333735 -1.465764
1.190129 -1.279939
-3.405092 1.205265
-2.697158 3.138090
1.978278 -2.220867
-2.020016 -0.806354
0.361241 -0.381389
-0.135389 0.941626
-2.018932 -0.606714
1.332970 -1.945539
-3.897286 1.971079
-2.755874 0.563713
-0.163376 0.672613
-2.076523 2.140234
-3.700766 1.710140
0.855741 -1.032459
-3.496554 1.507862
1.354443 -1.131341
-2.476385 2.162411
-2.283474 2.078599
1.327617 -2.373261
0.345976 -0.391574
-2.426554 2.084133
-2.696554 0.108415
-3.334696 1.241556
2.187439 -2.192113
-4.052104 2.369252
-2.505108 -0.038790
-2.344519 0.299884
-2.432747 0.003427
-2.690446 0.678498
-3.339275 3.818573
-1.313961 1.037230
-1.544789 0.695933
-1.469229 0.916440
0.886021 -1.117633
-2.855809 2.970061
-3.731512 1.249492
1.174861 -1.240958
1.906593 -1.934145
-3.703416 2.020942
-3.004622 3.298645
-2.846671 3.091589
-3.426138 1.357713
-3.219862 0.924808
-1.757492 -1.085807
-3.220385 3.116314
-2.865543 3.278977
0.146817 0.289379
-3.542312 2.064028
1.215949 -1.048920
-3.344659 1.158755
-3.945620 1.241568
-3.353503 1.246525
1.146708 -1.289801
0.485864 -0.278063
-2.582325 2.810457
-0.175046 0.754740
-2.317674 2.627331
0.051614 0.689049
1.742659 -2.129780
-4.386999 2.369494
0.194214 0.331655
-2.426503 -0.249637
1.203079 -1.195740
1.122529 -1.047206
1.017207 -0.268143
0.665544 -0.820042
-2.739855 2.583674
-1.423940 -1.393002
-2.029560 1.739097
-3.079143 1.199608
-2.744367 0.544724
-3.009003 2.801937
1.096672 -0.567399
-2.106686 -0.293518
-4.269602 2.647471
0.835091 -1.356064
2.355243 -1.994382
0.459061 -0.396543
-3.557877 3.493409
-2.904623 2.807886
-2.989446 0.914609
-2.531848 0.406672
-3.000502 0.998574
-1.687923 -1.532309
0.608620 -0.646068
-3.301729 1.029038
-2.956526 1.150744
-3.858133 1.683576
-3.117637 0.550697
-3.785608 1.652337
0.077085 0.358441
-3.586341 1.309294
-4.016014 4.861242
-2.239589 1.789782
-0.074291 0.560621
-3.469252 1.230472
0.655716 -0.434480
1.365962 -1.144134
-3.292842 3.085367
-4.125048 1.589856
-3.688291 1.360192
-0.135440 0.804635
0.676568 -1.099082
-2.922834 0.746785
0.588364 -0.085274
-0.193437 1.109093
-2.455192 0.385770
1.937225 -2.052391
0.403169 0.060455
-3.255096 3.533341
-3.642622 3.898556
-2.512634 2.127244
0.990050 -0.441185
-2.294791 0.049076
-2.290567 2.788979
1.808639 -1.867029
-3.315642 0.656019
-3.205046 3.459442
-3.554292 0.937379
-3.194228 2.929505
-0.213219 1.020893
-3.879167 2.121501
-3.914809 2.068429
-3.476229 1.694069
-1.326998 1.214485
-3.329617 3.785393
-3.332385 1.691053
0.669240 -0.428938
0.136771 0.475815
0.945781 -0.716202
-4.036297 4.432163
-2.601912 -0.163921
-3.214703 1.295519
-2.260074 -0.628951
-3.094616 3.557603
-2.085809 2.058358
0.977632 -0.540681
-4.009522 4.599108
1.756309 -1.521645
1.066269 -1.221835
1.404402 -1.781768
-2.324585 1.864274
-3.039592 0.940282
2.058837 -2.380972
-2.839038 0.391311
-2.145540 1.755003
-2.336343 2.122231
-0.262921 0.476636
-2.872681 2.760277
0.525581 -0.194702
0.172687 -0.466416
0.943589 -0.560558
-3.118281 2.938816
-2.810601 0.493066
-2.684113 0.087601
-1.565074 1.147659
0.059319 0.855779
-3.189749 3.787153
1.840179 -2.132883
-2.543304 2.607200
-3.542870 4.189748
-3.341412 1.283158
-2.817815 2.799090
-3.838145 2.260293
-3.464411 3.441618
1.917195 -1.956415
-4.507421 2.570548
-3.655743 1.960808
-3.341121 0.941574
-3.082715 3.364543
-3.784559 1.419577
-2.549991 2.460246
-2.807397 0.708233
-2.929515 0.290405
-3.277454 0.767379
0.427704 0.414574
0.927590 -0.606636
-2.626156 0.318262
0.055403 0.752773
2.381791 -2.754506
1.075306 -1.577113
-1.785301 -0.286042
-1.941446 -0.610381
-2.058233 -0.464864
-3.960256 2.203677
0.357460 0.238751
-3.961684 1.905292
-2.125357 1.791500
-3.152500 1.432388
0.819004 -0.557977
-2.316248 -0.190641
-1.520564 1.001857
-1.999410 1.461965
-3.431979 1.688493
-4.213431 2.713513
-2.416320 1.906234
1.546952 -1.776313
-0.578127 1.372514
1.618104 -1.499474
-2.301916 1.927877
-2.508474 0.103812
2.415145 -3.398180
0.792868 -1.081498
-1.856896 1.671206
-3.713211 3.865425
-4.455558 2.728441
-2.190667 2.355379
1.725652 -1.209018
0.262728 0.249684
-3.283468 3.298947
-0.084452 0.954052
-3.651428 4.648494
1.425859 -2.131763
0.995867 -0.860603
-3.679394 1.000062
0.628704 -0.082890
-3.153596 3.538649
0.790321 -0.419941
-0.905263 0.511810
0.949603 -0.640652
-3.658378 3.564993
1.208721 -0.742486
-2.845322 3.864063
-1.532602 -0.969495
-2.709785 0.998241
0.588321 -0.699591
-2.301049 0.230032
-2.342204 0.043254
-3.980467 1.996631
1.102936 -1.104452
-1.149706 1.072229
-3.251226 3.908197
-0.183669 0.894866
0.660569 -0.238339
-3.319500 1.063497
-2.833262 0.656933
-2.917920 2.511232
2.081868 -1.862488
-2.820787 3.060001
-2.684682 2.476368
-3.372832 0.919999
-3.042229 3.134643
-4.082161 2.002221
-3.966334 4.217750
-2.333167 -0.416533
0.952262 -0.370274
1.322328 -0.811047
1.555209 -0.837349
-3.196361 3.008309
-4.297520 1.991735
1.273738 -1.311770
-3.360461 1.358356
0.378939 0.158994
-3.065879 3.364610
-3.611021 4.205122
-3.736928 1.750987
-3.442767 3.194173
-3.561377 3.894241
1.556821 -1.345973
-3.928550 2.355351
-2.591331 0.404528
