X Y
-0.677999 -0.698757
0.931437 0.191391
0.548291 -0.006017
0.872837 0.375023
0.435427 -0.294726
-0.536253 -0.163471
0.935534 -0.069950
0.159219 0.971415
-0.611547 0.751418
0.423040 -0.268125
0.173147 -0.458363
-0.219125 -0.398849
0.096109 -0.519602
-0.104486 0.942077
0.967687 -0.174183
0.754242 -0.621617
-0.043996 -0.531987
0.430365 -0.355165
-1.027807 0.155325
-0.228548 0.382529
0.071758 0.989000
0.655803 -0.812775
0.758490 0.629618
-0.866656 -0.497841
-0.520035 0.072190
0.394909 0.221529
-0.480141 -0.098754
-0.184218 -0.921755
0.101596 0.524727
-0.140615 -0.420062
0.305418 -0.305836
-0.850261 0.502583
-0.520933 -0.010492
0.157637 0.523338
-0.434189 0.023918
0.316513 -0.394525
-0.603595 -0.675230
0.120921 -0.969693
-0.699461 -0.700145
-0.829813 0.384497
-0.450135 -0.285030
0.342891 -0.455510
0.531814 0.031431
0.738477 -0.657938
-0.615457 0.768498
-0.378752 -0.893043
-0.469287 0.170619
0.940516 -0.345081
0.280564 0.318425
-0.375463 -0.387242
0.513356 0.249786
-0.461774 -0.224138
0.053183 -0.948771
0.070808 -0.380032
-0.160072 -0.895151
-0.027487 -0.554549
0.912894 -0.342490
-0.441389 -0.890764
0.454790 0.032809
-0.506644 0.080482
-0.734677 -0.666446
0.860849 0.554751
-0.456707 0.221557
-0.331154 0.969166
0.035349 0.466655
-0.008867 0.516405
-0.312811 -1.016868
-0.331718 -0.439313
-0.753690 -0.642232
-0.546627 0.079896
0.914885 0.087661
-0.946636 -0.593912
0.407068 0.108282
-0.409579 0.293544
0.418979 0.871143
-0.079673 -0.959064
0.022271 0.492024
-0.128445 1.034038
0.296129 0.927400
0.221448 -0.372743
0.423269 -0.212434
-0.924347 -0.351271
-0.605629 -0.715164
-0.765676 -0.728862
0.338073 0.372803
-0.428441 0.807283
0.333686 -0.263154
-0.524092 -0.848993
-0.038609 -0.995680
-0.984526 0.046951
0.210340 -0.985424
0.008886 -0.996032
-0.659499 0.594582
0.971926 0.224894
-0.353677 -0.235196
-0.057825 -0.566347
0.871634 -0.633181
-0.321464 0.931368
0.984817 0.281003
0.087167 0.529270
-0.388277 0.193739
0.179648 -0.497591
0.551416 0.873007
0.057045 0.497796
-0.573832 0.033362
0.074692 0.579819
-0.952958 0.325481
-0.732914 -0.528069
0.248820 -0.956671
-0.511009 0.180196
-0.015967 1.037270
0.961245 0.087256
0.924577 0.380657
0.694589 0.584797
-0.168396 -0.486705
0.112856 0.455664
0.905957 0.235716
-0.193360 -0.380150
0.428584 0.279267
-0.129808 -1.006865
0.849347 0.433455
0.958172 -0.407165
-0.684629 -0.698642
-0.303698 -0.935910
-0.605071 -0.870112
-0.171775 0.504553
-0.941087 -0.363499
-1.026895 -0.176613
0.251774 -0.375210
-0.039233 0.508237
0.598627 0.161475
0.150253 0.467936
-0.158063 0.993672
-0.174484 -0.490936
0.797353 -0.570802
-0.880238 0.581656
0.248483 0.975321
-0.764439 0.640960
-0.555157 0.222931
0.398577 -0.875908
-0.908205 0.407285
0.539886 -0.845203
0.162116 0.440918
0.481715 0.116853
-0.049455 0.973072
-1.094953 -0.026592
0.081761 -0.882492
-0.935893 0.378655
0.397561 -0.169954
0.974016 0.059282
-0.854687 0.659927
-0.468957 -0.282842
0.980104 0.249931
0.086943 0.513643
0.541957 0.144448
-0.019935 0.411957
0.495279 -0.184585
-0.992969 0.072164
-0.045094 0.469167
0.909351 -0.449186
-0.225598 -0.473253
0.865109 -0.496427
-0.227253 0.997429
-0.461060 -0.179750
0.254634 -0.391796
0.162349 0.399205
-0.547372 0.199308
0.432875 -0.288995
-0.838898 0.395562
0.985178 0.197549
-0.866028 -0.502550
0.507851 0.173829
0.380959 -0.212232
-0.084691 1.016472
-0.222872 0.397240
-0.900582 -0.474540
0.237292 0.830083
-0.462334 -0.958491
0.294507 -0.392423
0.660606 -0.680099
-0.852687 0.549440
-0.307098 0.859804
0.986497 -0.286053
1.072890 -0.014782
0.347051 -0.952041
0.792057 0.622892
0.856374 -0.659352
0.716643 0.739131
-0.949822 -0.413830
0.439084 0.973049
-0.901443 0.473575
-0.417679 -0.292204
-0.401663 0.230490
-0.770459 -0.624693
0.104649 -0.419057
-0.351992 0.925476
-0.461885 0.081054
0.776156 0.563417
-0.609453 0.776124
-0.869826 0.611030
-0.936343 -0.250396
0.947641 0.195189
0.172001 0.505505
0.670847 0.722337
-0.128180 0.382630
0.084943 0.970973
0.502432 0.836911
-0.765820 -0.598353
0.267783 -0.953261
-0.136963 0.505817
0.526329 0.006974
0.033778 -1.002287
1.060646 0.045413
0.500939 -0.059420
-0.440592 -0.186962
-0.725037 -0.670232
-0.259295 -0.395699
0.356994 0.302502
0.411269 -0.865534
-0.459595 0.127022
0.187557 0.503566
0.350990 0.962713
0.946578 -0.211255
0.599337 -0.842506
-0.186974 -1.057288
-0.781941 -0.518192
0.504377 -0.112438
-0.424958 -0.131915
-0.988047 -0.290393
0.583738 0.762403
0.905616 -0.191904
0.122915 -0.478367
0.321184 -0.380730
0.925293 -0.452892
0.177570 -0.932051
0.285047 0.423628
-0.506985 -0.110505
0.482756 -0.083604
-0.308917 1.035905
-0.486191 -0.079374
-0.109448 0.483735
0.927042 0.372615
-0.227088 0.396412
0.194856 -0.431768
0.807127 0.410153
-0.487039 -0.197967
-0.015964 -0.483816
-0.275203 -0.955066
-0.322384 0.299988
-0.680302 0.686720
0.300083 -0.209034
0.768799 -0.659106
-0.316121 0.841761
-0.100478 0.441617
-0.317351 0.463191
-0.168533 -0.524660
-0.210372 0.910182
0.380473 -0.301154
1.059209 -0.238330
-0.437668 0.260651
-0.918127 -0.625615
0.661263 -0.592862
0.208281 0.511717
-0.862470 0.560693
-0.357175 -0.253458
0.419587 -0.862857
0.075456 -0.499759
-0.112886 0.495239
-0.947117 0.115546
-0.386086 -0.093426
0.397381 -0.358283
0.586201 -0.039841
0.373323 -0.211077
0.523411 -0.313837
-0.302930 0.392802
-0.373475 -0.972741
-0.535744 -0.111344
0.030460 0.952755
-0.833726 0.623528
0.330402 -0.415524
0.198183 -0.417874
0.419158 -0.220807
