X Y
0.496271 -0.342753
-0.166300 0.922342
0.718956 0.665290
-0.337840 0.912074
0.103768 0.116946
0.702804 0.667720
-0.614904 0.881684
0.667835 -0.456815
0.803439 0.768419
0.434519 0.833548
-0.451526 0.867688
0.573179 -0.413433
1.566417 -0.440186
1.396258 -0.353635
1.011969 -0.562964
1.071866 -0.033929
-0.067705 0.985937
1.739636 -0.173039
0.214441 -0.128790
0.984292 -0.469513
1.998867 0.349441
1.132009 -0.548606
0.082511 0.989596
0.713686 -0.499899
-1.036180 0.389093
0.475082 -0.369990
0.185801 0.952638
0.119731 0.022406
1.993655 0.445478
0.637446 0.747901
1.068196 -0.482278
-0.148474 1.050313
0.386807 0.980657
-0.178671 0.940450
1.282258 -0.396343
-0.980326 0.100863
1.987377 0.464477
0.126748 -0.112373
0.444394 -0.291783
0.615013 0.724495
-0.907856 0.515206
0.006890 0.971489
1.815501 0.005442
1.973811 0.316884
0.888139 -0.557867
0.013169 1.014930
1.958637 0.154446
0.466269 0.879144
0.423977 0.988572
0.669984 0.789333
0.549956 0.826760
0.652881 0.678939
0.167620 0.124025
2.021983 0.289367
2.036312 0.392123
-0.705304 0.802209
0.721721 -0.446847
-1.057252 0.288871
0.538738 0.707988
-0.730453 0.641255
-0.085058 1.040617
0.446517 0.817575
0.895367 0.414274
0.299042 -0.121882
0.340815 -0.268886
0.640343 -0.425107
-0.104821 0.874745
1.025808 0.030871
1.500083 -0.388380
1.058557 -0.486871
0.153143 0.143906
0.698832 0.732750
0.337857 1.001806
0.582376 0.779731
0.516631 0.908242
-0.012161 0.549717
0.377415 -0.209377
0.398307 0.876080
0.079609 0.407017
0.932146 0.253114
0.390304 -0.209082
-0.548919 0.775369
0.601761 -0.472310
0.330164 -0.214821
1.870198 0.073266
0.239898 -0.051028
-0.173536 1.009318
0.596136 -0.400319
0.573521 -0.352605
2.056516 0.169410
0.608283 0.768349
0.009094 0.943835
0.940722 0.280645
0.460975 -0.396293
1.592816 -0.425294
1.495644 -0.381199
1.721367 -0.131403
1.575977 -0.286960
0.020088 0.569959
0.811551 0.576702
0.055550 0.272523
1.819475 -0.054582
1.103558 -0.453437
0.409392 1.025252
0.737369 0.751975
0.872074 0.504964
0.785829 -0.466771
0.962392 -0.564115
-0.110210 0.953938
-0.070268 0.997614
1.378774 -0.458579
1.738328 -0.388595
0.639144 -0.496515
0.078786 -0.000002
0.040087 0.090268
1.576896 -0.287797
-0.200912 1.063326
0.998387 0.144506
0.323512 -0.122834
0.264926 1.015290
0.100261 -0.065602
1.658930 -0.317580
1.947505 0.131751
0.983862 -0.484429
0.157345 -0.017765
0.891421 -0.564348
1.660918 -0.357718
-0.800244 0.655224
-0.887394 0.572426
0.192676 -0.208585
0.436821 -0.373582
1.544492 -0.292624
0.781851 0.650672
-0.974938 0.423303
2.057088 0.445394
0.104283 0.139031
-0.900360 0.514926
0.110123 0.152040
0.132428 -0.100307
1.588997 -0.316330
0.635979 -0.299898
-0.931900 0.393856
0.439267 -0.440381
0.141521 0.106246
-0.918870 0.431856
0.962587 -0.431892
-0.217579 0.993247
0.800562 -0.441895
-1.040423 0.047103
1.044428 0.208865
1.810265 0.077613
1.759604 -0.009136
0.902235 0.578826
