X Y
-6.111197 1.471531
-7.496654 0.913425
-10.844898 -7.553523
-4.543377 -2.135686
-1.913821 -0.034780
1.771335 0.634508
-9.751574 -5.203026
-11.510236 -4.162843
-7.726758 -5.866566
2.307661 1.901932
3.359375 0.090352
1.508273 0.127570
-8.555451 -5.035368
2.049309 0.812645
-8.817190 -4.579256
0.538681 -3.678826
2.387060 1.139182
1.533955 -0.165970
-8.893150 -5.327496
-7.035285 -4.634900
-9.290995 -6.110015
2.079143 0.181553
-8.992939 -4.799269
-2.549263 -0.260671
-8.145691 -7.001195
-5.616211 0.450063
2.542376 -0.213811
-3.234137 -0.853312
1.820258 -0.098230
-8.820109 -6.845390
-6.378599 -2.493572
-9.464437 -6.540657
-6.505612 -1.600287
2.757431 0.837287
2.036624 0.313134
2.262468 0.731058
1.755859 -0.282572
-4.899064 0.334087
1.701763 0.454577
-9.022695 -4.365698
-10.813602 -5.049525
-8.147798 -4.878821
-6.584817 -3.028554
-7.209476 -1.016337
2.149851 1.181021
-8.094216 -5.774927
1.404243 0.700065
-10.430851 -6.234084
-6.208211 -2.740733
-4.054197 -5.385208
-1.473023 -1.939579
-4.121296 1.408127
-8.405901 -4.795570
-9.956645 -6.052124
-5.092831 4.402245
1.725121 0.297520
-8.536164 -5.625844
-5.924505 3.180307
-3.459515 -2.541837
-8.388976 -2.047180
-3.004123 -1.353997
-10.076450 -5.399924
0.479428 4.473719
2.652026 0.488114
-1.650566 0.786929
-4.298354 0.230572
-8.981104 -5.746659
2.274627 0.912578
-6.861798 -1.495463
-1.170869 2.244605
-4.667068 -1.278996
-7.218951 -0.939766
-4.987462 0.676333
2.097482 -0.036656
-8.424578 -5.322647
-1.017959 1.566443
-2.069420 1.885776
1.298705 1.310661
2.314972 0.831856
-4.286918 0.248057
-8.803197 -5.586250
-9.378285 -3.665081
-4.784890 -3.592747
1.574757 0.798044
-8.731372 -4.586969
1.801900 0.299098
2.486994 0.625520
-9.450179 -5.925277
-9.345124 -3.518924
-9.458499 -4.522200
2.436048 -0.727539
-9.289445 2.782716
1.991098 0.441218
2.101439 1.257173
-7.484379 0.192746
-8.861098 1.140797
2.363315 0.446650
-1.646000 1.432500
-3.215454 -1.011971
-9.937614 -3.868098
1.942682 0.634284
-6.867092 -5.766833
-10.090811 -5.469535
-3.467740 1.292744
-9.808596 -6.943026
1.328218 0.226601
-1.646081 5.911957
1.823998 0.208331
-8.901984 -6.451544
-5.123823 -2.322968
1.378593 0.573282
-10.556141 -5.978412
-8.971840 -6.042117
-9.255681 -6.744032
1.799494 1.427846
-0.168387 -2.642701
1.773666 0.441203
-4.365417 4.791445
-3.386872 0.357575
-9.985752 -3.981104
1.845435 0.495809
-6.032760 4.641324
2.080344 1.099321
-7.613222 -5.590644
-3.305412 -3.025870
2.313651 0.650228
-5.095414 5.031245
-3.710555 -2.841012
2.567261 0.231608
-10.487753 -4.923099
-9.625016 -6.742681
2.041962 -0.503676
-8.546062 -8.344645
1.680921 0.919288
-1.032683 0.644239
-4.727334 1.916777
-8.403877 -4.554458
2.170968 0.349898
1.526924 0.792724
-6.857610 -0.297758
-5.243541 2.900286
-3.812653 3.102739
-6.536731 -1.705703
1.915707 1.371841
-2.735175 -2.571145
-8.571758 -4.103544
2.150975 -0.282589
-3.465902 0.818416
-9.473396 -6.612091
1.578838 0.245634
